aired_at,duration,client_name,channel_name,city_name,campaign_name,brand_name,video_path,thumbnail_path
2015-12-12T07:09:53:000000Z,20.00,"Padam Motors Pvt. Ltd.",IBN7,PHCHP,"Padam Motors","Padam Motors",http://amagicloud.s3.amazonaws.com/archive/2015-12-12/IB/LD/88BIG7EJLG3C_123953_20.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-12/IB/LD/88BIG7EJLG3C_123953_20.jpg
2015-12-11T05:51:17:000000Z,25.00,"Glaxosmithkline Consumer Healthcare Limited","Zee TV","West Bengal","Horlicks Se TV Plan Dec 2015",Horlicks,http://amagicloud.s3.amazonaws.com/archive/2015-12-11/ZT/KO/3H2TCJTESSVK_112117_25.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-11/ZT/KO/3H2TCJTESSVK_112117_25.jpg
2015-12-16T14:54:40:000000Z,20.00,"Hindustan Unilever Limited","Zee TV",Maharashtra,HUL_Comfort,Comfort,http://amagicloud.s3.amazonaws.com/archive/2015-12-16/ZT/MU/72ZVRWLL4R4A_202440_20.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-16/ZT/MU/72ZVRWLL4R4A_202440_20.jpg
2015-12-15T05:54:34:000000Z,10.00,"Hindustan Unilever Limited","Zee Cinema","Uttar Pradesh",HUL_Huggies,"Huggies Pants",http://amagicloud.s3.amazonaws.com/archive/2015-12-15/ZC/UR/7BRV7VP6L4NO_112434_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-15/ZC/UR/7BRV7VP6L4NO_112434_10.jpg
2015-12-01T05:49:41:000000Z,20.00,"Pepsico India Holdings Private Limited","Zee TV",Punjab,Tropicana,Tropicana,http://amagicloud.s3.amazonaws.com/archive/2015-12-01/ZT/LD/2DD28JJQKBC1_111941_20.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-01/ZT/LD/2DD28JJQKBC1_111941_20.jpg
2015-12-17T05:56:14:000000Z,10.00,"Nova and Company","Zee TV","Madhya Pradesh","Nova Cream","Nova Cream",http://amagicloud.s3.amazonaws.com/archive/2015-12-17/ZT/BH/1YK6GR7IW4FB_112614_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-17/ZT/BH/1YK6GR7IW4FB_112614_10.jpg
2015-12-02T15:14:59:000000Z,10.00,"Muntaha Foods Pvt Ltd","Zee News",Punjab,"Muntaha Foods","Ground Fresh Masalay",http://amagicloud.s3.amazonaws.com/archive/2015-12-02/ZN/LD/4QBPDHEE2TP7_204459_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-02/ZN/LD/4QBPDHEE2TP7_204459_10.jpg
2015-12-08T07:23:12:000000Z,10.00,"Lucknow Gramudyog Sansthan","Zee News",Bihar,"Guide Detergent","Guide Detergent",http://amagicloud.s3.amazonaws.com/archive/2015-12-08/ZN/PT/49HBY6NTN7Z2_125312_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-08/ZN/PT/49HBY6NTN7Z2_125312_10.jpg
2015-12-07T08:22:41:000000Z,20.00,"Anchor Health and Beauty Care Pvt. Ltd.",IBN7,Punjab,"Anchor Health Care","Anchor Toothpaste",http://amagicloud.s3.amazonaws.com/archive/2015-12-07/IB/LD/84LCB6ZVFIUH_135241_20.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-07/IB/LD/84LCB6ZVFIUH_135241_20.jpg
2015-12-11T03:25:09:000000Z,10.00,"Lucknow Gramudyog Sansthan","Zee News",Bihar,"Guide Detergent","Guide Detergent",http://amagicloud.s3.amazonaws.com/archive/2015-12-11/ZN/PT/49HBY6NTN7Z2_085509_10.mp4,http://amagicloud.s3.amazonaws.com/archive/2015-12-11/ZN/PT/49HBY6NTN7Z2_085509_10.jpg
